Make,Model,ID,disp,type,horse,cyl,gears,lockup,drive,weight,axleratio,nvratio,THC,CO,CO2,NOx,mpg
Aston Martin,Rapide S,410TT4202,6,Car,552,12,8,Y,R,4750,2.73,22.4,0.0269,0.5,511.93,0.009,17.3
Aston Martin,Rapide S,410TT4202,6,Car,552,12,8,Y,R,4750,2.73,22.4,0.0008,0.06,296.63,0.001,29.9
Aston Martin,V12 Vantage S,288TT2087,6,Car,565,12,7,Y,R,4250,3.73,33.6,0.0248,0.61,603.49,0.011,14.8
Aston Martin,V12 Vantage S,288TT2087,6,Car,565,12,7,Y,R,4250,3.73,33.6,0.0005,0.05,353.09,0.002,25.3
Aston Martin,V12 Vantage S,298VP2156,6,Car,568,12,7,N,R,4250,3.73,33.6,0.0413,0.68,720.44,0.014,12.3
Aston Martin,V12 Vantage S,298VP2156,6,Car,568,12,7,N,R,4250,3.73,33.6,0,0.16,395.82,0.003,22.4
Aston Martin,Vanquish,314TT3175,6,Car,568,12,8,Y,R,4500,2.73,23.2,0.0293,0.335,536.18,0.0141,16.5
Aston Martin,Vanquish,314TT3175,6,Car,568,12,8,Y,R,4500,2.73,23.2,0.0005,0.03758,309.22,0.00179,28.7
AUDI,A4,D3UB-BMQ,1.984,Car,211,4,6,N,F,3875,3.69,31.2,0.01,0.84,368,0.016,24.1
AUDI,A4,D3UB-BMQ,1.984,Car,211,4,6,N,F,3875,3.69,31.2,0.1815,3.02,363,0.034,24.1
AUDI,A4,D3UB-BMQ,1.984,Car,211,4,6,N,F,3875,3.69,31.2,0.0216,0.78,301,0.027,29.4
AUDI,A4,D3UB-BMQ,1.984,Car,211,4,6,N,F,3875,3.69,31.2,0.0233,0.73,314,0.018,28.2
AUDI,A4,D3UB-BMQ,1.984,Car,211,4,6,N,F,3875,3.69,31.2,0.0091,0.13,200,0.004,44.4
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.0368,1.15,387,0.016,22.9
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.0227,0.55,384,0.022,23.2
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.329,1.52,475,0.029,18.6
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.0399,1.36,388,0.017,22.9
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.0159,0.3,464,0.022,19.2
AUDI,Q5,D3UF-Q5A,2.995,Both,272,6,8,Y,F,4750,3.2,25.7,0.0255,0.67,396,0.019,22.5
